date,closing,volume,opening,highest,lowest,daily_movement,year,month
2022-04-12,986.95,21992030,997.64,1021.1921,976.6001,-10.68999999999994,2022,4
2022-04-11,975.93,19785740,980.4,1008.4681,974.64,-4.470000000000027,2022,4
2022-04-08,1025.49,18337900,1043.21,1048.44,1022.435,-17.720000000000027,2022,4
2022-04-07,1057.26,26482350,1052.39,1076.59,1021.5401,4.869999999999891,2022,4
2022-04-06,1045.76,29782850,1073.47,1079.0,1027.7,-27.710000000000036,2022,4
2022-04-05,1091.26,26691670,1136.3,1152.87,1087.3,-45.039999999999964,2022,4
2022-04-04,1145.45,27392570,1089.38,1149.91,1072.53,56.069999999999936,2022,4
2022-04-01,1084.59,18087740,1081.15,1094.75,1066.64,3.439999999999827,2022,4
2022-03-31,1077.6,16330920,1094.57,1103.1399,1076.641,-16.970000000000027,2022,3
2022-03-30,1093.99,19955000,1091.17,1113.95,1084.0,2.8199999999999363,2022,3
2022-03-29,1099.57,24538270,1107.99,1114.77,1073.11,-8.420000000000073,2022,3
2022-03-28,1091.84,34168690,1065.1,1097.8799,1053.6,26.74000000000001,2022,3
2022-03-25,1010.64,20677180,1008.0,1021.7999,997.3201,2.6399999999999864,2022,3
2022-03-24,1013.92,22973630,1009.73,1024.49,988.8,4.189999999999941,2022,3
2022-03-23,999.11,40225380,979.94,1040.7,976.4,19.16999999999996,2022,3
2022-03-22,993.98,35289520,930.0,997.86,921.75,63.98000000000002,2022,3
2022-03-21,921.16,27327220,914.98,942.85,907.09,6.17999999999995,2022,3
2022-03-18,905.39,33471400,874.49,907.85,867.39,30.899999999999977,2022,3
2022-03-17,871.6,22194320,830.99,875.0,825.7178,40.610000000000014,2022,3
2022-03-16,840.23,28009610,809.0,842.0,802.2601,31.230000000000018,2022,3
2022-03-15,801.89,22280380,775.27,805.57,756.57,26.620000000000005,2022,3
2022-03-14,766.37,23717420,780.61,800.7,756.04,-14.240000000000009,2022,3
2022-03-11,795.35,22345720,840.197,843.802,793.77,-44.84699999999998,2022,3
2022-03-10,838.3,19549550,851.45,854.45,810.3601,-13.150000000000091,2022,3
2022-03-09,858.97,19727990,839.48,860.56,832.01,19.49000000000001,2022,3
2022-03-08,824.4,26799700,795.53,849.99,782.17,28.870000000000005,2022,3
2022-03-07,804.58,24164720,856.3,866.14,804.57,-51.719999999999914,2022,3
2022-03-04,838.29,22393290,849.1,855.65,825.1609,-10.81000000000006,2022,3
2022-03-03,839.29,20541170,878.77,886.439,832.6001,-39.48000000000002,2022,3
2022-03-02,879.89,24881150,872.13,886.48,844.2721,7.759999999999991,2022,3
2022-03-01,864.37,24922290,869.68,889.88,853.78,-5.309999999999945,2022,3
2022-02-28,870.43,33002290,815.01,876.86,814.7075,55.41999999999996,2022,2
2022-02-25,809.87,25355920,809.23,819.5,782.4005,0.6399999999999864,2022,2
2022-02-24,800.77,45107430,700.39,802.48,700.0,100.38,2022,2
2022-02-23,764.04,31752340,830.43,835.2997,760.56,-66.38999999999999,2022,2
2022-02-22,821.53,27762730,834.13,856.7338,801.1001,-12.600000000000023,2022,2
